Object             Mode      Rows Cols  Len Dy Mo  Year     
combinations       function     -    -    3  7 Mar  2000
.Last.value        character    -    -    1 23 Feb  2000
GEE                function     -    -    1 24 Jan  2000
MASS               function     -    -    1 24 Jan  2000
mass               function     -    -    1 24 Jan  2000
mean.lt            function     -    -   12 22 Jan  2000
colour.chart2001   function     -    -    4  2 Nov  2000
colorps.trellis    numeric   1201    4 4804  2 Nov  2000
get.col.names      function     -    -    3 13 Jul  2000
colour.chart2000   function     -    -    2 19 Jun  2000
reorder            function     -    -    4 12 Jun  2000
motif.tp           function     -    -    1 17 Apr  2000
complot            function     -    -   27 22 Feb  2000
month.length       numeric      -    -   12 30 Jun  1999
allfit             function     -    -   24 27 May  1999
levels.for.genstat function     -    -    3 18 May  1999
relevel.factor     function     -    -    4  3 May  1999
relevel.default    function     -    -    4  3 May  1999
relevel            function     -    -    4  3 May  1999
lookup             function     -    -    4 26 Apr  1999
occurrence         function     -    -    4 26 Apr  1999
fill.down          function     -    -    2 16 Mar  1999
average.down       function     -    -    2 10 Mar  1999
data.spot          function     -    -    5 18 Feb  1999
get.formula        function     -    -    5 17 Feb  1999
cols.for.genstat   function     -    -    3 12 Feb  1999
flyplot            function     -    -   33 12 Feb  1999
incidence          function     -    -   13 29 Jan  1999
get.mort.tables    function     -    -    6 13 Jan  1999
dmodes             function     -    -    5 20 Nov  1998
bar.legs           function     -    -   24  3 Nov  1998
unfactor           function     -    -    4 23 Oct  1998
summarize          function     -    -   14 23 Sep  1998
Updown             function     -    -    2 17 Sep  1998
factorize          function     -    -    2 14 Sep  1998
pseudo.f           function     -    -    3 17 Aug  1998
ppaste             function     -    -    2 11 Aug  1998
clipline           function     -    -    9 27 Jul  1998
make.line.loess    function     -    -   11  3 Jul  1998
flex.contour       function     -    -   10  3 Jul  1998
df.summary         function     -    -    8  1 Jul  1998
set.indentation    function     -    -    3 28 May  1998
stdev              function     -    -    3 21 May  1998
remove.shading     function     -    -    1 18 May  1998
agg                function     -    -    4 15 May  1998
FF                 function     -    -    5  9 Apr  1998
make.factors       function     -    -    5  6 Apr  1998
df.to.file         function     -    -    5  3 Apr  1998
panel.superpose    function     -    -   14 31 Mar  1998
append.cols        function     -    -    6 26 Mar  1998
text.bp            function     -    -    5 18 Mar  1998
qik.sum            function     -    -    4 13 Mar  1998
summarize.new      function     -    -   13 12 Mar  1998
duplicate.rows     function     -    -    3 18 Feb  1998
s.tapply           function     -    -    5 11 Feb  1998
text.bp.new        function     -    -    5 23 Jan  1998
strip.trail        function     -    -    3 23 Dec  1997
find.first.test    function     -    -    3 23 Dec  1997
equal.count        function     -    -    4 12 Nov  1997
formula.variables  function     -    -    3 10 Nov  1997
set.screens        function     -    -   13 29 Oct  1997
cloglog.bt         function     -    -    2 24 Oct  1997
modes              function     -    -    5 20 Oct  1997
dmodes.f           function     -    -    5 10 Oct  1997
tab.file           function     -    -    5 25 Sep  1997
show.nas           function     -    -    2  1 Sep  1997
count.nas          function     -    -    2  1 Sep  1997
p.sunflowers       function     -    -    9 14 Aug  1997
list.mat           function     -    -    2  1 Aug  1997
last.dump          list         -    -    2 18 Jul  1997
