RG4T	RG4S	A4T	A4S	R4T	R4S	NS4T	NS4S	RG7T	RG7S	A7T	A7S	R7T	R7S	NS7T	NS7S	RG14T	RG14S	A14T	A14S	R14T	R14S	NS14T	NS14S	RG21T	RG21S	A21T	A21S	R21T	R21S	NS21T	NS21S
46	10	42	13	43	11	46	14	47	15	41	12	43	16	42	6	43	0	44	12	46	0	43	0	42	0	43	0	46	0	45	0
38	12	42	16	46	17	40	16	35	9	44	13	43	18	42	11	37	0	44	0	41	0	41	0	41	0	40	0	44	0	41	0
36	9	38	12	43	11	34		37	15	37	13	35	0	42	11	38	3	42	0	45	0	44	2	45	0	43	0	42	4	41	9
45	10	41	11	45	12	38	8	40	9	46	12	44	13	44	10	50	3	41	0	42	0	46	0	48	2	50	1	43	4	42	0
48	8	46	13	46	12	38	5	50	12	47	7	44	15	29	5	44	14	42	8	43	9	44	0	47	0	42	0	42	2	36	0
48	26	46	9	45	10	48	14	42	10	46	15	48	10	48	8	40	1	44	13	43	14	39	0	36	0	40	0	45	5	47	2
40	11	28	11	38	17	21	2	38	10	41	20	38	12	34	8	39	11	35	0	43	1	42	7	36	0	42	0	44	0	34	1
46	16	45	22	31	10	34	14	46	16	38	14	44	9	39	8	43	13	46	2	41	8	50	6	44	0	31	0	38	0	41	0
43	14	38	21	38	12	42	11	42	10	39	8	41	9	46	14	40	0	38	2	36	4	34	2	41	0	28	0	42	0	46	4
45	9	38	14	46	18	37	9	35	12	40	24	47	11	29	8	39	3	29	1	46	6	49	1	45	0	27	0	34	1	37	0
45	14	45	12	45	13	35	12	36	13	31	11	34	12	36	12	26	1	32	8	32	2	38	0	49	0	44	0	35	0	37	0
37	7	44	35	34	8	42	22	44	18	38	20	38	24	26	4	34	0	36	2	44	6	46	9	44	0	39	0	41	0	30	0
24	5	43	16	27	16	48	27	38	8	34	9	38	14	44	8	38	6	36	2	30	3	37	7	43	0	39	0	41	0	36	0
45	12	36	22	39	13	46	13	43	20	32	9	47	19	35	5	35	0	44	4	46	1	35	0	31	0	41	0	39	0	44	0
31	18	42	12	50	16	36	10	36	6	27	8	43	3	44	7	46	3	48	6	32	0	40	0	40	0	38	0	41	0	42	0
